Team,Number,Name,First,Last,Position,Ht,Wt,Age,Bday,EXP,College,Salary,Birth City,Birth State,Race,HS,HS City,HS State,Pro Bowler,Champ,# of teams,Heisman
Chiefs,5,"Santos, Cairo",Cairo,Santos,K,68,175,22,11/12/91,0,Tulane,420000,"Sao Paulo, Brazil",Brazil,Hispanic,St. Joseph Academy,"St. Augustin, FL",Florida,0,NO,1,NO
Bills,6,"Schmidt, Colton",Colton,Schmidt,K,71,225,23,10/27/90,1,California-Davis,420000,"Bakersfield, CA",California,White,"Liberty (Bakersfield, CA)","Bakersfield, CA",California,0,NO,3,NO
Browns,42,"Nelson, Robert",Robert,Nelson,CB,69,175,24,2/16/90,0,Arizona State,420000,"Lakeland, FL",Florida,Black,North Gwinnett,"Suwanee, GA",Florida,0,NO,1,NO
Chargers,90,"Mathews, Ricardo",Ricardo,Mathews,DT,75,300,27,7/30/87,5,Cincinnati,730000,"Jacksonville, FL",Florida,Black,Parker,"Jacksonville, FL",Florida,0,NO,3,NO
Browns,89,"Robinson, Gerell",Gerell,Robinson,TE,75,220,24,10/13/89,1,Arizona State,0,"Gary, IN",Indiana,Black,Hamilton,"Chandler, AZ",Arizona,0,NO,3,NO
Texans,65,"Ankrah, Jason",Jason,Ankrah,LB,75,262,23,2/26/91,0,Nebraska,0,"Gaithersburg, MD",Maryland,Black,Quince Orchard,"Gaithersburg, MD",Maryland,0,NO,1,NO
Cowboys,56,"Toomer, Korey",Korey,Toomer,LB,74,234,25,12/9/88,3,Idaho,420000,"Las Vegas, NV",Nevada,Black,Shadow Ridge,"Las Vegas, NV",Nevada,0,1,2,NO
Patriots,94,"Jones, Chris",Chris,Jones,DT,73,309,25,7/21/89,2,Bowling Green State,563512,"Columbus, OH",Ohio,White,Brownsburg,"Brownsburg, IN",Indiana,0,NO,3,NO
Titans,8,"Succop, Ryan",Ryan,Succop,K,73,218,28,9/19/86,6,South Carolina,745000,"Pittsburgh, PA",Pennsylvania,White,Hickory,"Hickory, NC",North Carolina,0,NO,2,NO
Browns,18,"Gabriel, Taylor",Taylor,Gabriel,WR,68,167,23,2/17/91,0,Abilene Christian,420000,"Mesquite, TX",Texas,Black,Horn,"Mesquite, TX",Texas,0,NO,1,NO
Browns,69,"Painter, Vinston",Vinston,Painter,T,76,310,24,11/10/89,1,Virginia Tech,420000,"Norfolk, VA",Virginia,Black,Maury,"Norfolk, VA",Virginia,0,NO,2,NO
Broncos,25,"Harris Jr., Chris",Chris,Harris Jr.,CB,70,199,25,6/18/89,4,Kansas,2187000,"Bixby, OK",Oklahoma,Black,Bixby,"Bixby, OK",Oklahoma,0,NO,1,NO
Chargers,58,"Williams, Tourek",Tourek,Williams,LB,76,262,23,5/9/91,2,Florida International,567515,"Tallahassee, FL",Florida,Black,Norland,"Miami, FL",Florida,0,NO,1,NO
Rams,31,"Alexander, Maurice",Maurice,Alexander,S,73,220,23,2/16/91,0,Utah State,371065,"St. Louis, MO",Missouri,Black,"Eureka (Eureka, MO)","Eureka, MO",Missouri,0,NO,1,NO
Colts,59,"Johnson, Cam",Cam,Johnson,LB,75,260,24,5/24/90,2,Virginia,397500,"Washington, DC",DC,Black,Gonzaga College,"Washington, D.C.",District of Columbia,0,NO,2,NO
Chiefs,47,"Harris, Demetrius",Demetrius,Harris,TE,79,230,23,7/29/91,0,UW-Milwaukee,420000,"Jacksonville, AR",Arkansas,Black,"Jacksonville (Jacksonville, AR)","Jacksonville, AR",Arkansas,0,NO,1,NO
Steelers,9,"Wing, Brad",Brad,Wing,P,75,205,23,1/27/91,1,LSU,420000,"Melbourne, AUS",Australia,White,Parkview Baptist,"Baton Rouge, LA",Louisiana,0,NO,2,NO
Dolphins,5,"Williams, Damien",Damien,Williams,RB,71,221,22,4/3/92,0,Oklahoma,420000,"San Diego, CA",California,Black,Mira Mesa,"San Diego, CA",California,0,NO,1,NO
Broncos,63,"Garland, Ben",Ben,Garland,G,77,308,26,4/6/88,1,Air Force,420000,"Grand Junction, CO",Colorado,White,"Central (Grand Junction, CO)","Grand Junction, CO",Colorado,0,NO,1,NO
Chiefs,85,"Hammond, Frankie",Frankie,Hammond,WR,73,185,24,2/17/90,0,Florida,420000,"Hollywood, FL",Florida,Black,Hallandale,"Hallandale, FL",Florida,0,NO,1,NO
Steelers,74,"Hubbard, Chris",Chris,Hubbard,G,76,286,23,4/23/91,1,UAB,420000,"Columbus, GA",Georgia,Black,"Carver (Columbus, GA)","Columbus, GA",Georgia,0,NO,1,NO
Bills,45,"Gay, Jordan",Jordan,Gay,P,73,200,24,3/29/90,1,Centre,420000,"Danville, KY",Kentucky,White,Danville,"Danville, KY",Kentucky,0,NO,3,NO
Buccaneers,48,"DePaola, Andrew",Andrew,DePaola,LS,74,230,27,7/28/87,1,Rutgers,420000,"Parkton, MD",Maryland,White,Hereford,"Parkton, MD",Maryland,0,NO,1,NO
Raiders,87,"Leonhardt, Brian",Brian,Leonhardt,TE,77,255,24,4/2/90,1,Bemidji State,420000,"Blaine, MN",Minnesota,White,Spring Lake Park,"Spring Lake Park, MN",Minnesota,0,NO,1,NO
Broncos,71,"Cornick, Paul",Paul,Cornick,T,78,310,25,3/15/89,1,North Dakota State,420000,"Orono, MN",Minnesota,White,Orono,"Orono, MN",Minnesota,0,NO,1,NO
Browns,36,"Williams , K'Waun",K'Waun,Williams,CB,69,183,23,7/12/91,0,Pittsburgh,420000,"Paterson, NJ",New Jersey,Black,St. Joseph Regional,"Montvale, NJ",New Jersey,0,NO,1,NO
Steelers,15,"Brown, Justin",Justin,Brown,WR,75,209,23,3/10/91,1,Oklahoma,420000,"Cheltenham, PA",Pennsylvania,Black,Concord,"Wilmington, DE",Delaware,0,NO,1,NO
Broncos,80,"Thomas, Julius",Julius,Thomas,TE,77,250,26,6/27/88,4,Portland State,420750,"Stockton, CA",California,Black,Tokay,"Lodi, CA",California,1,NO,1,NO
Panthers,2,"Bersin, Brenton",Brenton,Bersin,WR,75,210,24,5/9/90,1,Wofford,429500,"Charlotte, NC",North Carolina,White,Charlotte Latin,"Charlotte, NC",North Carolina,0,NO,1,NO
Texans,35,"Pleasant, Eddie",Eddie,Pleasant,S,70,210,25,12/17/88,2,Oregon,430000,"Compton, CA",California,Black,Kennedy,"La Palma, CA",California,0,NO,1,NO
49ers,63,"Jerod-Eddie, Tony",Tony,Jerod-Eddie,DT,77,301,24,3/29/90,3,Texas A&M,430000,"Dallas, TX",Texas,Black,DeSoto,"DeSoto, TX",Texas,0,NO,1,NO
Giants,84,"Donnell, Larry",Larry,Donnell,TE,78,265,25,11/1/88,2,Grambling State,450000,"Ozark, AL",Alabama,Black,"Carroll (Ozark, AL)","Ozark, AL",Alabama,0,NO,1,NO
Chiefs,95,"Martin, Josh",Josh,Martin,DE,75,245,22,11/7/91,0,Columbia,450000,"Aurora, CO",Colorado,Black,Cherokee Trail,"Aurora, CO",Colorado,0,NO,1,NO
Jaguars,59,"Davis, Ryan",Ryan,Davis,DE,74,260,25,2/24/89,2,Bethune-Cookman,450000,"Tampa, FL",Florida,Black,Howard W. Blake,"Tampa, FL",Florida,0,NO,1,NO
Colts,16,"Rogers, Da'Rick",Da'Rick,Rogers,WR,75,215,23,6/18/91,2,Tennessee Tech,450000,"Atlanta, GA",Georgia,Black,Calhoun,"Calhoun, GA",Georgia,0,NO,2,NO
